Orthogroup,GeneID,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
OG0009972,Montipora_capitata_HIv3___RNAseq.g4997.t1,3.2103288892506474,3.135719990370163,3.0601649772359316,2.7925772036512257,3.139892059664513,3.0379297965145104,1.2806694925327895,1.6108650715960329,1.8424078839430569
OG0009973,Montipora_capitata_HIv3___RNAseq.g19615.t1,0.928910523649228,1.1476790513082031,0.9533117676998064,1.0468728882067475,1.041573967001718,0.9207075223110462,0.8610564438379439,1.644781974638001,2.3849168631849422
OG0009974,Montipora_capitata_HIv3___RNAseq.g7463.t1,5.682701676545361,5.619401116533994,5.496073752805849,5.712353731237121,5.550137148877777,5.563082519428495,3.035031544031701,3.687626546433968,4.469251855796192
OG0009975,Montipora_capitata_HIv3___TS.g36109.t1,6.141141841982798,6.133335235482246,6.160614232170463,6.238515577063325,6.349694612072791,6.240239809171493,5.93797162933973,5.856139632223111,5.8632049213106106
OG0009976,Montipora_capitata_HIv3___RNAseq.g28036.t1,3.02123864349333,3.0478323760667037,2.9116003199774423,2.633945750553701,2.5217262235762044,2.940036113880522,2.71066977138649,2.4062533681717055,3.2999964322422044
OG0009977,Montipora_capitata_HIv3___RNAseq.27623_t,7.228787144983239,7.169592286112482,7.081264923147632,7.251295094968416,7.225904448121474,7.1697121408418285,6.564031612679517,6.408299681111861,6.412059705616894
OG0009978,Montipora_capitata_HIv3___RNAseq.g35296.t2,6.048059009177349,5.922519497296463,5.841665411139449,5.986097287467916,5.937922499757151,5.95264058269378,4.220448447667751,4.730615220241159,5.500394031789053
OG0009979,Montipora_capitata_HIv3___TS.g46950.t2,3.2819363448683534,3.4566009278969343,3.6719535694148018,3.725442080019297,3.613587401642974,3.652060108395154,2.9723226184888043,3.50112783086781,3.4362108500724022
OG0009980,Montipora_capitata_HIv3___RNAseq.g897.t1,5.517938128283247,5.522112741288703,5.463803722470291,5.470174917556978,5.549163909555224,5.399674014229582,3.140632760934032,3.963615832607578,4.482655541001664
OG0009981,Montipora_capitata_HIv3___RNAseq.g44883.t1,0.42769242392971313,0.3405053719138042,0.3861585483906283,0.5274514859769409,0.34738061079337756,0.3400190793399117,0.2661510843161805,0.5368357118588808,1.1739254935253225
OG0009982,Montipora_capitata_HIv3___RNAseq.g24700.t1,5.862278513038333,5.743957795238862,5.634402469354644,5.4831313290737915,5.63476619341424,5.607882981026048,4.674837552622645,4.633384111778401,4.816530759899506
OG0009983,Montipora_capitata_HIv3___RNAseq.g48222.t1,3.9871762914901936,4.156061571784561,4.04952715514987,3.992938336881898,4.109721879877881,3.910586286298985,2.666303912944946,3.08942583894085,2.9916566763144163
OG0009984,Montipora_capitata_HIv3___RNAseq.g2909.t1,7.288140200005325,7.186906636217473,7.108230681879954,7.161831677856279,7.0626392778943154,7.060348145225884,5.574146167568059,5.644355130384823,6.403893245796262
OG0009985,Montipora_capitata_HIv3___RNAseq.g47582.t1,2.5575785819292487,2.404291649521611,2.643162334663796,2.535528874300971,2.167442041703607,2.3555790064738384,2.3035236545992253,2.448181957757282,2.6244835116858773
OG0009986,Montipora_capitata_HIv3___RNAseq.g41204.t1,3.0131620172651754,3.188891747841875,2.912832124496378,3.2021244122069024,3.056587855833641,3.0455374119281418,3.4923167925925394,3.9092429303670366,3.659637336478451
OG0009987,Montipora_capitata_HIv3___RNAseq.g35107.t1,4.4943331857637405,4.507278589583858,4.549388523640908,3.9727634466566544,4.403895740830021,4.187564215672807,2.8573415815915335,2.9917565689381056,3.5906455648603575
