Orthogroup,GeneID,DRR318288,DRR318289,DRR318291,DRR318293,DRR318294,DRR318295,DRR318297,DRR318298,DRR318299
OG0008780,aten_0.1.m1.10036,4.531362356177824,4.578086356735566,4.822787819888786,4.1343519514203395,4.166936879899285,4.4535071794237195,4.060731506737721,4.175958378178156,3.941891559773417
OG0008781,aten_0.1.m1.7371,6.158631621443128,6.17660931381861,6.194590131305991,5.68195376168027,5.823343721331676,5.798106161103676,5.982684739013863,5.865526742096092,6.06608343335857
OG0008782,aten_0.1.m1.34866,5.73536482949462,5.529347481890729,5.276582273996969,5.13919937788359,4.832564190149851,4.91076164567043,3.611462213146647,3.732411544116911,3.1474363299432344
OG0008783,aten_0.1.m1.30421,4.407725764154988,4.236614802591398,4.431803784837612,4.052662997326172,3.6790634097049497,3.72555766336277,4.72626099794933,4.944780000021847,4.75205839132264
OG0008784,aten_0.1.m1.20057,6.208856470147199,6.187325342655666,6.59528811301933,4.980257618214219,5.179019562843356,5.249279661194551,6.259578005732518,6.119996839378396,6.298943673639154
OG0008785,aten_0.1.m1.19104,5.414330058109913,5.725822750686766,5.733102740716145,5.357421058943328,5.438115305040765,5.35343190359772,5.4611804316526955,5.449461227792384,5.511631206696185
OG0008786,aten_0.1.m1.34635,4.280985198716137,4.269597040242004,3.934896613383031,3.357699146093927,3.3093347266991593,3.462690709427966,4.046298600886227,4.119745475408108,4.136813312182609
OG0008787,aten_0.1.m1.21193,6.676295956757354,6.854397630573743,7.055471178623801,6.577884293286447,6.831972152760207,5.584916590430443,6.156258073927718,6.3655660066777555,5.788344818098632
OG0008788,aten_0.1.m1.15558,0.947960006479172,0,0,1.134876819229664,1.8234810433086648,1.4373509606629895,0.4073257914132311,0,0
OG0008789,aten_0.1.m1.619,7.026435120050633,7.130387720754219,6.6440691343498495,7.026346961124139,6.909806183736846,6.279414905226201,6.0337550887884674,6.057968167115634,6.025395976563615
OG0008790,aten_0.1.m1.11910,7.207132140808545,6.96890317544927,6.9348237321784305,4.088556372720309,4.202958060475239,4.685694628643526,6.286168550281182,5.94955874567828,6.3553285463704805
OG0008791,aten_0.1.m1.1078,4.783900533248294,5.089752542237822,4.678083118780292,3.630341542128721,3.8261183291551872,3.6760863505371617,4.404798996669156,4.445339327951513,4.551160396213529
OG0008792,aten_0.1.m1.3100,2.180231597357813,1.5855822970563165,2.205184503060552,2.1407989790823545,1.9169119429342816,1.8865650776013017,1.803193539289529,1.083408900356856,0.9923374208119252
OG0008793,aten_0.1.m1.21009,0.8429484820389678,0.6149076497450032,0.59596029150003,0.41615342406677736,0.13167721858367806,0.16271600010809764,0.44870117406200183,0.2522194148485597,0.21119567736313763
OG0008794,aten_0.1.m1.20630,5.161399094445471,5.26861109284842,5.385737157484479,5.214035653465968,5.241179189010657,5.311267061510529,4.751070871289301,4.90007445340919,4.886424461013989
OG0008795,aten_0.1.m1.29421,7.109683910008024,7.331225315684817,7.142886067696254,6.887677892652142,6.864491893226351,7.008114995341574,7.16512611579888,7.082466630979282,6.89517429193858
OG0008796,aten_0.1.m1.6876,5.338785162590573,5.363437071368787,5.242374521004082,4.498251180729759,4.710553072023603,4.799635936849749,5.772408867230695,5.637919565766012,5.473322893403796
OG0008797,aten_0.1.m1.34485,5.030657636797458,5.066472971529931,5.206553768706224,5.336529948563368,5.336062983883499,5.308820627175604,4.505509099720832,4.402422954502224,4.466962395994551
OG0008798,aten_0.1.m1.11322,3.657014636717243,3.974895968110863,3.79005009729009,3.485365136706148,3.3875508658965767,3.5747752535067336,4.171848018824995,4.1093822295563625,4.019955968909478
OG0008799,aten_0.1.m1.11113,5.429909018098502,4.251198272814513,4.8706155387182655,3.740562854493767,4.251632704861164,4.201216306661907,4.638030924317811,5.216452833834918,4.311542931099174
OG0008800,aten_0.1.m1.31332,4.435752804878897,4.279953209051891,4.157451630162322,3.6815271448586286,3.656271820897925,3.649221745961068,4.081198654378616,3.990525395809479,4.032933337879129
OG0008801,aten_0.1.m1.21587,5.146760740204674,4.8953766216628365,5.140297131801875,4.49662846302288,4.515738511142761,3.848276128775858,5.267774542898286,4.951255700003125,4.721814076865317
OG0008802,aten_0.1.m1.12294,5.380868621240815,5.441956850331467,5.369333898726803,4.702204362269778,5.0224355521983925,5.26581205644472,2.7297120765404697,2.5300838312228793,2.6693171614578963
OG0008803,aten_0.1.m1.2991,4.509936450758924,4.578758376353104,4.700166181945992,4.22085394573531,4.452912398925346,4.359869810775534,4.595762563290618,4.243449652490801,4.686022635519916
OG0008804,aten_0.1.m1.7290,5.097246160019312,5.178569280246174,5.181054933669311,5.287927648215774,5.482121529923984,5.6075024440267685,5.4624224915894715,5.44247665315157,5.682673096673219
OG0008805,aten_0.1.m1.30496,3.3299608719264295,3.2248186657531672,2.8150448687204213,2.1287315648606087,2.1869998947397815,2.368546237420476,2.6158123274440457,2.9613464277775616,2.8163468560359117
