gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___RNAseq.g6399.t1,517,708,709,620,442,751,440,381,532
Montipora_capitata_HIv3___RNAseq.36991_t,3369,4056,4064,5976,4991,5687,147,202,333
Montipora_capitata_HIv3___RNAseq.g18409.t1,359,529,509,440,403,489,176,295,254
Montipora_capitata_HIv3___RNAseq.g48520.t1,0,0,0,0,0,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g12351.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g9063.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6915.t1,4,2,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g28489.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g20774.t1,1104,1248,1263,1592,1396,1517,210,493,265
Montipora_capitata_HIv3___RNAseq.g47730.t1,5,2,1,3,2,2,2,2,2
Montipora_capitata_HIv3___RNAseq.g9809.t1,0,0,0,2,2,0,0,3,2
Montipora_capitata_HIv3___RNAseq.g11609.t1,0,0,0,0,0,0,0,0,4
Montipora_capitata_HIv3___RNAseq.g35942.t1,31,35,27,33,5,15,8,20,19
Montipora_capitata_HIv3___RNAseq.g20462.t1,5987,7244,7309,7648,6084,7183,2732,2971,3792
Montipora_capitata_HIv3___TS.g16289.t1,0,3,3,3,4,7,0,8,7
Montipora_capitata_HIv3___RNAseq.g31005.t1,0,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18801.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49391.t1,105,109,81,197,197,241,570,767,851
Montipora_capitata_HIv3___RNAseq.g49216.t1,2000,2554,2562,2200,2033,2298,413,433,578
Montipora_capitata_HIv3___RNAseq.g26016.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8771.t1,7876,10286,10775,9914,8461,10644,2314,2553,3663
Montipora_capitata_HIv3___TS.g45731.t1,0,18,9,15,11,18,2,12,18
Montipora_capitata_HIv3___RNAseq.g12599.t1,5,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26055.t1,118,66,124,142,86,92,31,43,74
Montipora_capitata_HIv3___RNAseq.g35839.t1,0,0,0,0,0,0,0,6,0
Montipora_capitata_HIv3___RNAseq.g47732.t1,0,0,0,0,0,0,0,0,2
Montipora_capitata_HIv3___RNAseq.g38848.t1,6,4,10,12,9,16,62,61,75
Montipora_capitata_HIv3___RNAseq.g7961.t1,44,54,17,25,34,26,7,11,32
Montipora_capitata_HIv3___RNAseq.g28455.t1,599,833,870,835,680,813,587,666,786
Montipora_capitata_HIv3___RNAseq.g34210.t1,123,180,189,173,171,135,48,71,87
Montipora_capitata_HIv3___TS.g3691.t3a,1549,1701,1712,1584,1216,1774,129,281,611
Montipora_capitata_HIv3___RNAseq.g21772.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45265.t1,167,175,250,182,149,205,283,392,367
Montipora_capitata_HIv3___RNAseq.g526.t1,1589,1804,1975,1339,1076,1351,947,1117,1486
Montipora_capitata_HIv3___RNAseq.g28487.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g13378.t1,0,0,3,2,1,0,0,0,1
Montipora_capitata_HIv3___TS.g25163.t1b,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g25896.t1,0,2,2,1,3,1,7,6,11
Montipora_capitata_HIv3___RNAseq.g49458.t1,61,111,74,38,78,69,107,183,254
Montipora_capitata_HIv3___RNAseq.g6639.t1,1352,1462,1686,1548,1309,1637,148,175,489
Montipora_capitata_HIv3___RNAseq.g11764.t1,0,6,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g40185.t1,25,25,18,12,21,16,10,13,31
Montipora_capitata_HIv3___TS.g19001.t2,1793,2081,2126,2091,1602,2012,622,956,1440
Montipora_capitata_HIv3___RNAseq.g2455.t1b,655,708,828,909,861,971,178,421,447
Montipora_capitata_HIv3___RNAseq.g2455.t1a,0,0,2,3,1,2,3,4,4
Montipora_capitata_HIv3___RNAseq.g50559.t1a,2,2,0,5,1,0,0,0,1
